project_id,project_name,solution_id,optimization_id,optimization_name,solution_status,created_at,construct_id,spec_id,prompt_version,num_specs_in_solution,num_runtime_measurements,metric_name,runtime_measurements,metric_measurements,metric_count
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,b0d6615d-06b4-47a4-8c6d-769ea390af19,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,All,All,standard,10,100,runtime,"89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519","89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519,89.31250969899702,89.53681366800447,89.68117066798732,89.05928039501305,88.90530402501463,89.97039677199791,89.6206900899997,89.44144347700058,89.07328781599062,89.12624781197519",100
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,af3c505f-0a0b-44da-83f7-51e79928b6f1,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,a708e396-2e2a-431c-96cc-ec714254ced1,4deacc93-998d-4955-8980-b8b52918f024,baseline,1,10,runtime,"89.64379896197352,88.83476130399504,88.73133767198306,89.6377700069861,89.73845220298972,88.90302417299245,89.34100900500198,89.2350461469905,89.34799432900036,88.91561701401952","89.64379896197352,88.83476130399504,88.73133767198306,89.6377700069861,89.73845220298972,88.90302417299245,89.34100900500198,89.2350461469905,89.34799432900036,88.91561701401952",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,5ced75a8-3c18-4e50-b747-4b3cd7dc8137,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,a708e396-2e2a-431c-96cc-ec714254ced1,e9116680-8fa1-4354-8fff-49aaa528e1e9,standard,1,10,runtime,"89.89722646700102,89.42861423498834,89.43753694999032,88.93080282097799,89.37238686397905,89.40225946600549,88.45365332698566,89.67100554300123,89.14733387599699,88.85809173501912","89.89722646700102,89.42861423498834,89.43753694999032,88.93080282097799,89.37238686397905,89.40225946600549,88.45365332698566,89.67100554300123,89.14733387599699,88.85809173501912",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,4cb18b3e-9e17-42c0-b71d-490aa8d92e55,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,0f482d67-7b12-41ce-b0ff-10c8e6399e51,f5ae417a-2c02-4a2f-a4f0-d3771529d4a9,simplified,1,10,runtime,"88.95301100800862,89.36362297699088,88.85713154898258,89.00316004600609,89.44347431699862,89.2373678739823,89.98866197202005,89.56844442800502,90.23886713400134,89.68087422999088","88.95301100800862,89.36362297699088,88.85713154898258,89.00316004600609,89.44347431699862,89.2373678739823,89.98866197202005,89.56844442800502,90.23886713400134,89.68087422999088",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,249cfc61-e401-45d3-b4d6-49d46019db80,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,8ed9280e-5342-4800-91a1-0e9e16f1a1fa,dbdc8097-737b-4b84-afeb-3654fcf37b1c,enhanced,1,10,runtime,"89.43041862698738,89.53887655300787,89.59638996599824,88.71341552198282,88.89742795799975,89.02740591700422,88.97251235300791,88.74270300299395,88.79788494500099,88.98706121800933","89.43041862698738,89.53887655300787,89.59638996599824,88.71341552198282,88.89742795799975,89.02740591700422,88.97251235300791,88.74270300299395,88.79788494500099,88.98706121800933",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,10e5c168-7499-4c2d-bdf2-82dd550646e2,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,964ede2c-075f-4629-8a81-52bf163e5d94,45616539-559a-4955-b87e-ac0f3ec5a193,baseline,1,10,runtime,"89.26494777901098,88.99988467199728,89.59117572699324,89.31997296301415,88.66200162601308,88.91183659699163,88.98997412700555,88.78421608899953,89.13117730501108,88.85323465499096","89.26494777901098,88.99988467199728,89.59117572699324,89.31997296301415,88.66200162601308,88.91183659699163,88.98997412700555,88.78421608899953,89.13117730501108,88.85323465499096",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,d5b1e896-ffb0-48d7-9ceb-72abb5d8004f,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,a4a1d71a-7ffd-4aff-9763-9966bebc7fe9,a037acef-d4a2-4b6c-8abc-1518d5b3dbcc,enhanced,1,10,runtime,"88.88748427201062,89.4535049929982,89.12762426800327,89.46814365999307,89.40048452600604,89.05186730698915,89.35536803398281,88.70676377799828,89.10473179499968,88.77689270701376","88.88748427201062,89.4535049929982,89.12762426800327,89.46814365999307,89.40048452600604,89.05186730698915,89.35536803398281,88.70676377799828,89.10473179499968,88.77689270701376",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,85c3dcc8-a385-472e-8b22-cb96f7ecfed4,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,a4a1d71a-7ffd-4aff-9763-9966bebc7fe9,13e3bb92-fe50-463e-9fc2-fc1082f56f09,enhanced,1,10,runtime,"89.07603935498628,89.3329987640027,89.16243131598458,88.98316049901769,89.06732827599626,89.14201223800774,88.82583420199808,89.31377360000624,89.25864283001283,88.78106687599211","89.07603935498628,89.3329987640027,89.16243131598458,88.98316049901769,89.06732827599626,89.14201223800774,88.82583420199808,89.31377360000624,89.25864283001283,88.78106687599211",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,984aedbb-533f-405d-91e0-01d676f9e0a3,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,Original,Original,original,0,0,runtime,"89.10517714201706,88.73771463299636,89.35948256397387,88.69482939399313,89.10946528799832,88.92736114401487,89.79907539801206,89.89833796399762,89.5813128350128,89.163662794017","89.10517714201706,88.73771463299636,89.35948256397387,88.69482939399313,89.10946528799832,88.92736114401487,89.79907539801206,89.89833796399762,89.5813128350128,89.163662794017",10
114ba2fa-8bae-4e19-8f46-3fbef23b4a98,BitNet,2f4434ae-691a-4377-8daa-5016adb5dda9,9afc41b2-17f5-4799-90f1-1f1eb3625c42,BitNet - 70970,SolutionStatusEnum.success,Unknown,97ab3b7b-25c1-49eb-aebb-51764115ae2d,3b9bca93-3610-4d38-b966-3a935ed1dd45,standard,1,10,runtime,"89.28429288699408,89.37257769599091,89.24961388600059,89.18940820597345,89.21211105099064,89.05539038300049,89.21839589902083,88.79336716100806,89.28659666699241,89.37339824199444","89.28429288699408,89.37257769599091,89.24961388600059,89.18940820597345,89.21211105099064,89.05539038300049,89.21839589902083,88.79336716100806,89.28659666699241,89.37339824199444",10
